Phone,Year,Gender,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,SocialMedia_Facebook,SocialMedia_Twitter,Computer,SocialMedia_Favorite,Class
1353,1,F,67,108,No,right,0,1,500,7,,3,No,No,4,1869,Academy,2,Yes,91,150,Yes,Mac,Twitter,3
5370,2,M,72,180,No,right,3,4,18,6,2.41,5,No,No,4,6184,Olympic,0,No,56,10,Yes,PC,TikTok,3
1555,1,M,73,173,No,right,1,1,22,6,,5,No,No,2,2517,Nobel,0,No,70,0,No,PC,Snapchat,5
5129,3,M,77,210,No,right,2,3,0,4,4,8,No,Yes,7,6969,Nobel,0,No,80,0,Yes,Mac,Snapchat,5
9847,1,F,65,,No,right,1,2,30,6,,12,Yes,,5,6543,Olympic,2,No,68,0,No,Mac,Snapchat,5
8855,1,F,65,120,No,right,1,2,64,6,,12,No,Yes,4,2991,Olympic,2,No,74,0,Yes,Mac,Instagram,5
398,2,F,64,130,No,both,1,2,70,60,3.6,5,No,No,5,6820,Nobel,4,Yes,50,15,No,PC,Instagram,5
9641,2,M,68,140,No,both,1,1,20,6,3.2,15,No,Yes,10,4444,Olympic,0,Yes,60,0,Yes,Mac,Instagram,5
2705,1,F,66,116,No,right,1,1,45,3.5,,5,Planning,No,15,9215,Nobel,10,Yes,70,400,Yes,Mac,Instagram,5
3332,1,M,72,159,No,right,2,2,23,3.5,,15,No,Yes,2,4589,Olympic,0,No,45,500,No,PC,Snapchat,5
6709,3,F,64,120,No,right,2,2,25,3,3.62,1,Planning,No,4,4356,Nobel,2,No,98,200,Yes,Mac,TikTok,5
2796,2,F,62,117,No,right,1,2,55,6,3.65,10,Planning,Yes,4,4854,Olympic,6,No,,,No,Mac,Snapchat,5
4879,1,F,,130,Yes,right,0,1,0,19,,0,No,No,3,4798,Nobel,4,No,,0,Yes,Mac,TikTok,6
9369,2,M,71,140,No,right,2,1,40,7,3.51,15,No,Yes,30,5252,Nobel,0,No,72,20,Yes,Mac,Twitter,5
4685,1,F,60,120,No,right,2,2,20,6,,20,No,No,5,146,Olympic,4,No,,0,No,Mac,Snapchat,6
2287,2,F,70,130,Yes,right,1,2,100,4,3.6,7,No,Yes,15,8767,Nobel,6,Yes,64,150,No,PC,Snapchat,5
8534,2,F,64,160,No,right,2,3,75,0,3.2,6,No,No,10,4182,Nobel,9,Yes,84,398,Yes,Mac,Facebook,5
8726,2,F,68,180,No,right,1,1,0,33,3.78,5,No,No,3,1738,Nobel,2,No,,0,Yes,PC,Snapchat,5
14,2,F,62,118,No,right,2,2,0,3,3.9,3,No,No,3,3865,Nobel,2,No,78,50,Yes,PC,Snapchat,5
3973,1,M,72,243,No,right,4,4,15,5.5,,8,No,Yes,13,5555,Olympic,0,No,41,0,Yes,PC,Snapchat,5
6295,2,M,71,160,No,right,0,1,7,1.5,3.75,10,No,No,5,824,Nobel,0,No,50,0,No,Mac,Snapchat,5
1164,1,M,72,265,No,right,2,3,26,6,,12,No,Yes,7,1457,Nobel,0,No,34,0,Yes,Mac,Snapchat,5
611,3,F,64,127,Yes,right,2,3,15,6,3.5,10,No,No,1,8624,Olympic,9,No,68,400,No,Mac,Instagram,5
3600,2,F,69,135,No,right,1,2,30,3.5,2.9,10,No,Yes,4,4279,Olympic,3,Yes,79,20,No,Mac,Snapchat,5
4481,2,M,71,145,No,left,3,2,20,2.25,,8,No,Yes,2,2971,Olympic,0,No,85,0,No,Mac,Instagram,5
5609,1,M,73,185,No,right,3,3,28,6,,7,Planning,No,4,2128,Olympic,0,No,70,0,No,,Instagram,5
6379,1,F,68,150,No,right,4,3,35,0.1,,5,Planning,Yes,21,6297,Olympic,2,No,96,60,No,PC,Instagram,5
,2,M,68,165,No,right,1,2,15,2,,20,No,Yes,4,,Olympic,0,No,,24,No,Mac,Snapchat,5
600,2,F,65,119,No,right,2,1,0,5.5,3.7,12,No,No,7,9247,Nobel,5,No,84,0,No,PC,Snapchat,5
7823,4,F,67,160,No,right,2,3,0,5,3.92,15,No,Yes,2,6783,Olympic,2,No,75,0,Yes,Mac,Instagram,6
7319,2,M,68,166,No,right,3,3,0,6,3.2,8,No,No,8,9999,Olympic,0,No,70,80,Yes,Mac,Snapchat,6
4615,2,M,71,238,No,right,1,1,17,4,3.3,32,No,Yes,10,6900,Nobel,0,Yes,65,1232,Yes,Mac,Snapchat,6
3149,2,F,65,130,No,right,1,2,0,2.5,3.9,8,No,Yes,3,4124,Nobel,2,No,49,30,Yes,Mac,Snapchat,6
9296,2,M,69,150,Yes,right,2,2,20,5.5,3,3,Planning,No,8,2702,Olympic,0,No,77,1000,Yes,Mac,Instagram,6
4480,3,F,72,170,No,right,2,2,40,16,3.86,14,No,Yes,10,1212,Olympic,4,No,63,30,No,PC,Instagram,6
8224,2,F,69,159,No,right,0,1,55,6.5,3.2,3,Planning,No,10,4678,Olympic,2,No,50,136,Yes,Mac,Instagram,6
8403,2,M,67,160,Yes,right,0,1,23,4,3.2,10,No,No,5,1017,Olympic,0,No,76,250,Yes,Mac,Snapchat,6
7369,2,F,59,,No,right,4,2,20,6,3.4,1.5,No,No,1,2078,Olympic,2,No,50,77,No,Mac,Instagram,6
929,2,F,69,165,Yes,right,1,1,150,3,3.7,6,No,No,10,1027,Nobel,9,Yes,72,302,No,Mac,TikTok,6
5859,2,,67,120,No,right,1,2,,6,,1,No,,1,2424,Nobel,0,No,,2000,No,PC,Instagram,6
7510,3,M,70,135,Yes,right,1,2,20,1,3.7,2,Yes,No,5,2378,Nobel,0,No,52,1000,Yes,Mac,Snapchat,6
3911,3,F,63,125,Yes,right,1,2,25,3.5,3.89,20,No,No,3,7856,Nobel,7,Yes,58,150,No,PC,Instagram,6
5681,2,M,70,160,No,left,2,3,35,3.5,3,5,No,No,1,8765,Nobel,0,Yes,65,370,Yes,Mac,Snapchat,6
6469,2,,,,No,right,1,1,,4,3.4,15,No,Yes,10,4130,Olympic,6,No,,500,Yes,Mac,Snapchat,6
908,2,F,66,140,No,right,1,1,0,4,3.75,5,No,No,4,8059,Olympic,4,Yes,74,0,No,Mac,Instagram,6
6810,2,F,58,,No,right,1,2,20,1,,,No,No,,6793,Olympic,8,No,,,No,,Snapchat,6
9131,2,F,62,160,No,left,2,2,180,5,3.9,2,No,No,10,5468,Olympic,4,No,68,0,No,Mac,Instagram,6
966,2,F,66,128,Yes,right,3,1,90,7,3.41,4,Planning,No,4,9191,Academy,2,No,72,83,No,Mac,Snapchat,6
7291,2,M,69,190,No,right,3,3,15,6,3.3,20,No,Yes,4,1738,Olympic,0,No,,100,Yes,Mac,TikTok,6
2357,3,M,,185,No,right,5,1,30,2.5,1.9,6,No,Yes,7,4967,Olympic,2,Yes,60,300,No,PC,TikTok,6
3802,3,F,64,160,No,right,1,2,130,6.5,3.82,5,Yes,No,10,7678,Academy,2,No,84,250,Yes,Mac,TikTok,6
7014,2,F,68,150,No,right,4,4,5,19,3.4,9,No,No,30,1478,Olympic,2,No,70,0,No,Mac,Snapchat,6
9678,2,M,72,185,No,right,1,1,20,3.5,3,20,Planning,Yes,8,1225,Olympic,0,No,,100,Yes,Mac,Snapchat,6
1277,2,M,72,198,No,right,2,2,30,3,3,20,No,Yes,8,7483,Olympic,0,No,80,0,Yes,Mac,Instagram,6
5050,2,M,68,165,Yes,right,2,3,20,2,3,5,No,No,9,6764,Academy,0,Yes,,0,No,PC,Instagram,6
7509,2,F,65,290,No,right,2,2,60,4,4,2,No,No,8,7359,Academy,4,Yes,100,67,Yes,Mac,TikTok,6
6288,2,F,66,125,No,right,1,1,35,3,4,14,No,Yes,3,6834,Nobel,2,No,60,0,No,PC,Snapchat,6
8830,2,M,70,255,No,left,4,3,,2.5,3.56,10,No,Yes,0,1006,Olympic,0,No,60,3500,Yes,Other,Snapchat,6
9848,2,F,72,122,No,right,1,2,0,4.5,3.5,0,No,No,4,5713,Nobel,2,Yes,60,0,No,PC,Instagram,7
4142,1,F,66,135,No,right,4,2,300,6,,5,Planning,No,3,9000,Nobel,4,No,65,232,No,Mac,Snapchat,7
9310,2,M,74,190,No,right,1,1,50,9,,20,No,Yes,10,6969,Olympic,0,Yes,62,0,No,Mac,Snapchat,7
9884,2,M,,175,No,right,1,2,60,6.5,2.6,7,Planning,No,5,9876,Academy,0,No,60,70,Yes,Mac,Snapchat,7
7378,1,M,76,170,No,right,1,2,18,32,,14,No,Yes,2,1975,Olympic,0,No,67,100,Yes,Mac,Snapchat,7
6228,1,F,64,110,No,right,1,1,150,3.5,,18,No,Yes,2,1272,Nobel,2,Yes,62,65,Yes,Mac,Instagram,7
7766,2,M,,150,Yes,right,1,2,40,7,,8,No,No,,1111,Nobel,0,Yes,60,300,No,Mac,Snapchat,7
5324,2,F,63,120,No,right,1,2,120,3.5,3.83,5,No,No,5,7349,Olympic,8,No,76,100,Yes,Mac,TikTok,7
6212,2,M,73,170,No,right,1,2,20,6,2.7,15,No,No,20,6739,Olympic,0,No,72,0,No,Mac,Instagram,7
4041,2,F,68,120,No,left,2,1,25,4.5,,10,No,Yes,20,2143,Olympic,2,No,58,0,No,Mac,Instagram,7
3112,1,M,71,150,No,both,2,2,25,3.5,,5,No,No,4,3870,Nobel,0,No,76,30,Yes,PC,Snapchat,7
3225,3,M,74,210,Yes,right,0,1,15,0,3.5,3,No,No,10,1111,Olympic,0,No,54,0,Yes,Mac,Snapchat,7
4613,2,M,71,169,Yes,both,1,2,35,6.5,2.9,5,Planning,No,15,1171,Olympic,0,No,68,800,Yes,Mac,Instagram,7
677,1,M,70,170,No,right,3,2,15,7,,15,No,Yes,10,3434,Olympic,0,No,72,0,No,Mac,Snapchat,7
9663,1,F,66,,No,right,3,2,0,3,,,No,No,8,2784,Nobel,2,No,80,0,Yes,PC,TikTok,7
260,2,F,61,175,No,right,2,3,25,5,3,6,No,No,3,6375,Nobel,3,Yes,,200,No,Mac,Snapchat,7
5619,2,M,72,185,No,right,2,3,25,6,2.7,10,Yes,,3,7286,Olympic,0,,72,0,No,PC,Instagram,7
8915,2,M,58,143,No,right,1,2,22,35,2.5,10,No,Yes,12,3578,Olympic,0,No,,50,Yes,Mac,Instagram,7
9909,2,M,71,235,No,right,1,2,25,3.5,3.2,3,No,No,5,7927,Nobel,0,No,80,0,No,PC,Snapchat,7
816,3,M,84,203,No,right,2,2,20,7,,15,No,Yes,5,4268,Academy,2,No,,0,No,Mac,None,7
8359,1,F,64,118,No,right,3,2,0,6,,5,No,No,3,1197,Academy,10,No,72,100,No,Mac,Snapchat,7
8342,2,M,72,270,No,left,2,1,25,8,3.1,6,Planning,No,5,6212,Academy,0,Yes,88,0,No,PC,Instagram,7
4160,1,M,66,150,Yes,right,3,2,15,0.1,,10,No,Yes,10,6310,Olympic,0,No,54,0,Yes,Mac,Twitter,7
9058,2,,72,150,No,left,1,2,20,0.5,2.03,3,No,No,10,4962,Nobel,0,No,70,8,Yes,PC,Snapchat,7
6069,2,F,67,130,No,right,1,2,40,2.5,3.1,8,No,No,2,4102,Olympic,3,No,60,100,No,Mac,Snapchat,7
8836,1,F,57,125,No,right,5,3,32,0,,3,No,Yes,4,5378,Olympic,0,No,68,43,Yes,PC,Snapchat,7
6367,3,F,60,116,No,right,4,1,0,4,,8,No,No,5,1000,Nobel,2,No,66,734,Yes,Mac,Instagram,7
9428,2,,67,197,No,right,0,1,60,26,,6,No,Yes,12,6514,Olympic,11,Yes,75,,Yes,PC,Snapchat,7
7760,3,F,62,,,right,2,2,65,6,3.56,13,Yes,No,10,9036,Academy,2,Yes,,821,Yes,Mac,Snapchat,8
285,2,M,74,170,Yes,right,2,1,16,5,3.3,20,No,Yes,10,1287,Olympic,0,No,68,0,Yes,Mac,Snapchat,8
7974,2,F,71,175,No,right,2,3,35,4.5,3.1,10,No,Yes,4,5935,Olympic,2,No,,200,Yes,Mac,Snapchat,8
7660,3,M,66,145,No,right,2,2,15,3.5,3.7,10,No,No,5,1979,Nobel,0,No,72,0,No,Mac,None,8
3777,2,F,62,120,No,right,1,2,,7,3.5,3,No,No,10,9378,Nobel,3,Yes,92,0,No,Mac,Instagram,8
3894,1,M,72,160,No,right,2,1,,5.5,,,No,Yes,,6490,Olympic,,No,62,,,,,8
4422,1,F,66,125,No,right,1,2,55,6.5,,5,No,No,10,2573,Nobel,2,No,64,300,Yes,Mac,Snapchat,8
1101,3,F,64,120,Yes,both,2,3,40,14,3.3,3,No,No,6,2324,Nobel,14,Yes,74,250,No,Mac,TikTok,8
948,3,M,72,165,Yes,right,2,3,20,2,2.6,5,No,No,12,7865,Olympic,2,No,60,100,Yes,Mac,TikTok,8
6428,1,F,64,105,No,right,1,2,50,8,,6,No,No,6,2964,Nobel,3,No,76,130,No,Mac,Snapchat,8
5997,1,F,,120,No,right,2,3,,6,,,No,No,2,7340,Olympic,3,No,,200,No,Mac,Snapchat,8
566,2,F,68,130,No,right,0,1,,3.5,,7,Planning,No,,7632,Olympic,4,No,70,,No,Mac,Snapchat,8
1260,2,F,68,145,Yes,right,1,1,110,7,3.62,8,No,No,2,5723,Olympic,4,No,62,200,Yes,Mac,Snapchat,8
1977,2,M,73,150,No,right,3,3,20,3.5,3.58,5,No,No,30,280,Academy,0,No,64,0,Yes,Mac,TikTok,8
4718,2,F,69,175,Yes,right,1,1,64,6,3.1,15,Planning,Yes,8,7396,Olympic,6,Yes,68,0,No,Mac,Instagram,8
7,2,M,72,190,Yes,right,2,2,25,4,3.1,14,No,Yes,,6395,Olympic,,,62,,No,Mac,Snapchat,8
1183,2,M,72,200,No,right,1,2,45,4.5,,6,No,No,6,6560,Olympic,0,Yes,64,300,Yes,Mac,Snapchat,8
7888,2,F,64,130,No,right,2,1,215,24,3.7,10,No,No,2,1111,Nobel,2,No,58,600,No,Mac,TikTok,8
5433,2,M,,145,No,right,2,1,50,11,3.1,12,No,Yes,7,7535,Olympic,0,No,66,200,No,Mac,Snapchat,8
5335,2,M,73,160,No,left,2,2,,31,,,No,No,,7653,Olympic,0,No,82,120,Yes,PC,Twitter,8
9157,2,F,69,195,No,right,1,2,22,3.5,3.6,,No,No,16,1342,Nobel,0,No,82,127,Yes,Mac,Other,8
671,4,F,68,145,Yes,both,2,1,170,6,3.5,9,No,No,12,5408,Olympic,5,Yes,92,900,No,Mac,TikTok,8
7268,1,M,71,185,No,right,2,1,25,6,,8,Planning,Yes,4,1250,Nobel,0,No,,0,No,Mac,Snapchat,8
1654,1,M,,,,right,2,3,,2.5,,,,,,,,,,68,,,,,8
9227,1,F,61,100,No,right,1,2,20,6,,2,No,No,14,2219,Nobel,0,No,81,0,Yes,Other,TikTok,8
7234,1,F,62,130,No,right,2,3,18,11,,5,No,No,15,4634,Olympic,3,Yes,74,0,Yes,PC,Instagram,8
