Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
8316,1,M,71,165,No,right,2,3,20,5.5,NA,12,No,Yes,5,2222,Olympic,0,No,59,800,Yes,Mac,Snapchat,2,Fall18
NA,4,M,70,160,Yes,right,2,2,2,7,3.2,12,No,No,5,3323,Nobel,0,Yes,64,1000,No,Mac,Other,2,Fall18
NA,1,M,74,155,No,right,3,4,22,5,NA,8,Planning,No,2,3642,Olympic,0,No,84,800,Yes,Mac,Instagram,2,Fall18
NA,2,F,67,145,No,right,2,2,80,5.5,3.8,16,No,Yes,15,1860,Olympic,5,Yes,73,300,Yes,Mac,Instagram,2,Fall18
NA,3,F,67,160,No,right,1,2,0,4,3.67,7,No,No,10,7922,Nobel,2,No,69,NA,No,PC,Snapchat,2,Fall18
NA,2,M,69,174,No,right,1,1,0,3.5,3.4,16,No,Yes,10,7643,Olympic,0,Yes,78,274,Yes,Mac,Instagram,2,Fall18
NA,2,M,69,180,No,right,4,2,35,4,2.9,10,No,No,4,1234,Nobel,2,Yes,75,0,No,PC,Instagram,2,Fall18
NA,2,F,66,130,No,right,1,2,60,7,3.4,10,No,Yes,2,1467,Nobel,2,No,61,550,No,Mac,Snapchat,2,Fall18
NA,1,F,70,135,No,right,1,1,120,0.3,NA,10,No,Yes,5,7866,Academy,2,No,92,410,Yes,Mac,Snapchat,2,Fall18
NA,2,F,68,145,No,right,1,2,60,6,3.64,6,Planning,No,6,4414,Academy,4,No,61,700,No,Mac,Instagram,2,Fall18
NA,2,F,62,134,No,right,1,1,35,5,3.7,9,No,No,7,2613,Olympic,2,No,52,261,No,Mac,Instagram,2,Fall18
NA,2,F,70,160,No,right,2,1,70,19,3.3,10,No,Yes,7,1273,Olympic,7,No,67,500,Yes,Mac,Snapchat,2,Fall18
NA,2,F,66,145,No,right,1,1,300,12,3.7,10,Planning,Yes,2,4818,Olympic,4,No,65,800,Yes,Mac,Instagram,2,Fall18
NA,2,F,66,145,No,right,1,1,300,12,3.7,10,Planning,Yes,2,4818,Olympic,4,No,65,800,Yes,Mac,Instagram,2,Fall18
NA,2,M,67,150,Yes,right,0,1,5,13,3,2,No,No,10,8888,Nobel,0,No,82,50,Yes,PC,Other,2,Fall18
NA,1,M,75,210,No,right,1,1,22,3.5,NA,15,No,Yes,10,4769,Olympic,0,No,56,100,Yes,Mac,Instagram,2,Fall18
NA,2,F,62,135,No,right,2,2,165,6,3.2,5,No,Yes,6,8742,Olympic,2,No,68,600,No,Mac,Snapchat,2,Fall18
4944,2,M,71,225,Yes,right,2,2,33,6.5,2.3,3,No,No,14,7676,Nobel,0,No,61,2000,Yes,Mac,Instagram,2,Fall18
NA,2,M,70,136,No,right,0,1,105,22,3.5,5,No,No,8,2821,Nobel,0,No,55,140,No,PC,Other,2,Fall18
NA,1,M,71,170,No,left,0,1,30,4.5,NA,14,No,Yes,2,1111,Nobel,0,No,80,5,Yes,NA,Snapchat,2,Fall18
1018,3,M,72,160,No,right,1,1,54,6.5,2,21,No,Yes,11,3145,Olympic,0,No,50,1000,Yes,PC,Facebook,2,Fall18
NA,2,F,64,125,No,left,1,1,130,22,3.2,7,No,No,21,7733,Nobel,2,No,50,1600,No,Mac,Instagram,2,Fall18
NA,2,F,62,148,No,right,2,3,15,24,3.6,3,No,No,1,4335,Nobel,2,No,56,600,Yes,Mac,Snapchat,2,Fall18
NA,2,F,64,107,No,right,1,2,135,NA,3,1,Planning,No,2,7253,Nobel,2,No,80,800,No,Mac,Snapchat,2,Fall18
NA,2,F,64,130,No,right,2,3,80,3,3.75,7,No,Yes,7,7781,Nobel,2,No,57,500,Yes,Mac,Snapchat,2,Fall18
NA,4,F,67,180,No,right,2,1,100,9,3.3,15,No,Yes,6,1111,Olympic,2,No,68,0,No,Mac,Instagram,2,Fall18
NA,2,F,63,115,No,right,3,4,150,24,2.3,5,No,No,14,1224,Academy,0,No,65,0,No,Mac,Other,2,Fall18
NA,2,M,71,159,No,right,1,2,30,6,3.2,7,Planning,No,3,6623,Nobel,0,No,76,700,Yes,Mac,Snapchat,2,Fall18
NA,3,F,66,135,NA,right,1,2,85,5.5,3.3,7,Yes,No,7,3125,Olympic,5,No,74,1100,Yes,Mac,Instagram,2,Fall18
NA,2,F,62,130,No,right,2,2,20,3,3,4,No,Yes,20,2411,Academy,2,No,61,220,Yes,PC,Snapchat,2,Fall18
NA,3,F,67,150,No,right,1,2,20,8,NA,5,No,No,7,9624,Nobel,3,No,70,900,No,Mac,Instagram,2,Fall18
NA,2,M,67,145,No,left,0,1,12,1,3.7,2,No,No,5,9884,Nobel,0,No,84,0,Yes,Mac,Twitter,2,Fall18
9931,1,F,65,120,No,right,3,1,80,6,NA,18,No,Yes,9,5820,Olympic,4,No,NA,700,Yes,Mac,Snapchat,4,Fall18
6327,2,M,72,185,Yes,right,2,3,30,16,2.8,15,No,Yes,8,6327,Olympic,0,Yes,65,0,Yes,Mac,Instagram,4,Fall18
8964,2,M,74,205,Yes,right,1,1,48,18,3.3,16,No,Yes,10,2171,Nobel,0,Yes,80,500,Yes,Mac,Snapchat,4,Fall18
2325,4,M,75,190,No,right,1,2,0,3,3.4,18,No,Yes,10,3724,Olympic,0,No,50,452,Yes,PC,Instagram,4,Fall18
8600,2,M,72,180,No,left,1,2,20,2,3.85,8,No,No,10,7892,Nobel,0,No,66,400,Yes,Mac,Instagram,4,Fall18
8706,2,M,69,180,Yes,both,1,1,30,16,3,7,No,Yes,10,7289,Olympic,0,No,83,300,Yes,Mac,Snapchat,4,Fall18
1161,2,F,55,140,No,right,2,3,65,4,3,12,No,Yes,4,3874,Olympic,2,No,110,900,No,Mac,Instagram,4,Fall18
3703,2,M,70,175,No,right,1,2,25,2.15,3.15,16,No,Yes,6,8675,Olympic,0,No,80,250,Yes,PC,Snapchat,4,Fall18
1551,2,M,70,170,No,right,2,1,30,8,3.2,3,No,No,5,6524,Olympic,0,No,60,700,No,Mac,Instagram,4,Fall18
419,2,M,69,182,No,right,1,2,38,6,3.25,5,No,No,10,1427,Olympic,0,No,64,3,Yes,Mac,Instagram,4,Fall18
4416,2,F,64,130,No,right,1,2,50,5.5,3.4,4,Planning,Yes,5,2723,Olympic,0,Yes,60,500,Yes,Mac,Instagram,4,Fall18
68,2,F,66,NA,No,right,1,1,20,7,3.5,12,Planning,Yes,2,5930,Academy,4,No,NA,NA,Yes,Mac,Snapchat,4,Fall18
8296,2,M,69,150,No,right,1,2,20,7,3.43,30,No,No,7,7496,Nobel,0,No,54,270,No,PC,None,4,Fall18
6963,2,F,66,105,No,right,2,1,90,6,3.6,3,No,No,10,7519,Nobel,4,No,70,250,Yes,Mac,Instagram,4,Fall18
7136,1,M,71,185,No,right,1,2,31,5,NA,10,No,Yes,15,8392,Olympic,0,No,60,350,Yes,Mac,Instagram,4,Fall18
2722,2,F,66,145,No,right,2,2,0,6.5,3.7,10,No,Yes,2,7598,Nobel,0,No,55,500,Yes,PC,Other,4,Fall18
8594,2,F,67,130,No,right,2,1,30,6,2.5,9,Planning,Yes,4,3479,Olympic,7,Yes,84,1000,No,Mac,Snapchat,4,Fall18
8791,2,F,68,145,No,right,1,1,35,5,3.7,10,No,Yes,5,8888,Olympic,6,Yes,91,700,No,Mac,Snapchat,4,Fall18
622,1,F,64,125,No,right,2,2,20,8,NA,4,No,No,5,6485,Nobel,4,No,NA,100,No,Mac,Snapchat,4,Fall18
5646,2,M,71,164,No,left,2,3,10,2,3,20,No,Yes,10,3735,Olympic,0,No,60,800,Yes,Mac,Snapchat,4,Fall18
8898,1,F,62,125,No,right,1,2,10,6.5,NA,14,No,Yes,6,5896,Olympic,2,No,42,0,No,Mac,Instagram,4,Fall18
6627,1,M,71,160,No,left,1,2,12,5,NA,16,No,Yes,5,4469,Olympic,0,No,36,300,Yes,Mac,Snapchat,4,Fall18
2251,3,F,67,190,No,right,5,3,85,5,2.8,2,No,No,10,9105,Academy,10,Yes,85,400,Yes,Mac,Snapchat,4,Fall18
1214,1,F,66,145,No,right,2,3,60,5,NA,10,No,No,8,8743,Olympic,5,No,67,500,No,Mac,Snapchat,4,Fall18
776,1,F,66,170,No,right,2,2,30,3,NA,15,No,Yes,8,623,Olympic,7,Yes,71,300,Yes,Mac,Snapchat,4,Fall18
4258,2,F,61,120,No,right,2,2,40,6,3.7,10,No,No,4,5083,Olympic,2,No,75,381,Yes,Mac,Snapchat,4,Fall18
1740,2,F,56,109,No,right,1,1,250,20,3.7,2,No,No,12,7474,Academy,2,No,76,500,No,Mac,Instagram,4,Fall18
NA,2,F,66,125,No,right,0,1,55,4,3.7,10,Planning,Yes,5,2789,Nobel,3,No,NA,70,No,Mac,Instagram,7,Fall18
3650,3,M,72,185,No,right,0,1,7,0.5,3.94,10,No,No,15,5676,Olympic,0,No,64,600,Yes,PC,Instagram,7,Fall18
5698,2,M,72,180,Yes,right,4,4,20,6,3.33,4,Planning,No,10,5631,Nobel,0,No,70,1000,Yes,Mac,Instagram,7,Fall18
1436,2,M,71,160,No,right,2,1,18,4.5,3.7,15,No,No,5,6969,Olympic,0,No,65,500,Yes,Mac,Instagram,7,Fall18
6605,2,M,72,200,Yes,right,3,1,20,6,3.35,24,No,Yes,16,9999,Nobel,0,No,60,1000,Yes,PC,Twitter,7,Fall18
9178,2,M,69,270,No,right,2,3,20,5,3.25,15,No,Yes,13,5895,Nobel,0,No,NA,600,Yes,Mac,Twitter,7,Fall18
2207,1,M,69,185,No,right,2,2,10,7,NA,20,No,Yes,20,456,Nobel,0,No,NA,0,No,Mac,Instagram,7,Fall18
7447,1,F,71,140,No,right,1,1,110,1,NA,5,No,NA,4,1609,Academy,7,No,45,700,Yes,Mac,Facebook,7,Fall18
4387,1,F,63,135,No,right,1,2,70,3.5,NA,12,No,Yes,5,7594,Olympic,6,No,79,0,Yes,Mac,Snapchat,7,Fall18
417,2,F,62,120,Yes,right,1,2,200,6.5,3,30,Planning,Yes,10,3728,Olympic,6,No,60,300,Yes,Mac,Snapchat,7,Fall18
6371,2,F,66,150,No,right,1,2,0,6,3.5,2,No,No,6,4734,Nobel,5,No,NA,100,Yes,Mac,Snapchat,7,Fall18
2044,2,F,62,110,No,left,1,2,120,6,NA,14,No,Yes,3,1234,Olympic,2,No,NA,2000,Yes,Mac,Instagram,7,Fall18
7860,2,F,55,130,No,left,0,1,100,20,3.4,2,No,No,3,8888,Academy,0,No,83,775,No,Mac,Instagram,7,Fall18
2712,1,M,74,162,No,right,2,3,14,10,NA,12,No,Yes,7,1598,Olympic,0,No,62,713,Yes,Mac,Snapchat,7,Fall18
1994,3,F,68,145,No,right,1,1,140,7,3,4,Planning,No,4,2312,Nobel,2,No,68,1246,Yes,Mac,Snapchat,7,Fall18
5982,3,M,69,154,No,right,0,1,15,7,2.95,20,Yes,No,3,9999,Olympic,0,No,75,775,No,Mac,Snapchat,7,Fall18
9830,2,F,63,120,No,left,1,1,80,8,3.67,20,Planning,Yes,3,3333,Olympic,1,No,80,1098,Yes,Mac,Instagram,7,Fall18
4205,1,M,68,140,No,right,0,1,22,6,NA,10,No,Yes,10,6398,Olympic,0,No,70,259,Yes,Mac,Snapchat,7,Fall18
9918,1,F,65,115,No,right,1,1,65,4.5,3.3,10,Planning,Yes,4,5654,Olympic,2,NA,70,650,Yes,Mac,Snapchat,5,Fall18
8272,3,F,70,230,No,right,1,1,10,3,3.55,5,No,No,7,1256,Nobel,4,No,68,200,No,Mac,Snapchat,5,Fall18
6005,2,F,64,140,No,left,2,1,35,6,3.78,7,Planning,No,5,5648,Nobel,6,No,76,500,Yes,Mac,Instagram,5,Fall18
2025,3,M,75,185,No,right,1,2,25,4,3.7,15,No,Yes,6,1361,Nobel,0,No,58,160,No,Mac,Instagram,5,Fall18
9716,3,F,69,142,No,right,1,2,0,2.25,3.24,15,No,Yes,2,6738,Nobel,8,Yes,54,600,Yes,Mac,Other,5,Fall18
6662,3,M,71,180,Yes,right,1,2,20,10,3.7,10,No,No,10,9264,Nobel,0,No,70,900,Yes,Mac,Snapchat,5,Fall18
6842,3,M,72,150,Yes,right,1,1,20,6,3,5,Yes,No,10,7789,Nobel,2,No,70,800,Yes,Mac,Instagram,5,Fall18
3632,3,M,67,170,No,right,3,3,0,6,2.75,12,No,Yes,7,9437,Olympic,0,No,78,1000,No,Mac,Snapchat,5,Fall18
8892,2,F,65,145,No,right,1,2,30,6.5,3.2,2,No,No,8,6589,Nobel,2,No,92,120,Yes,Mac,Instagram,5,Fall18
6040,3,F,60,115,No,right,2,3,20,4,NA,2,No,NA,3,5732,NA,1,No,68,500,Yes,Mac,Instagram,5,Fall18
4330,2,M,70,155,No,right,3,2,17,5.5,3.1,8,No,No,15,5946,Olympic,0,No,54,1000,Yes,Mac,Other,5,Fall18
3905,2,F,66,120,No,right,2,2,35,3.5,3.3,3,Planning,No,4,1689,Olympic,2,Yes,52,1000,Yes,Mac,Snapchat,5,Fall18
1068,2,F,64,136,Yes,right,1,1,15,12,3.4,7,No,No,3,2608,Nobel,7,Yes,100,800,Yes,PC,Twitter,5,Fall18
5860,3,M,73,226,No,right,0,1,30,3.5,3,12,Planning,Yes,6,7890,Nobel,0,No,60,1200,Yes,Mac,Snapchat,5,Fall18
9964,2,F,68,185,No,right,2,2,45,3.5,3.6,2,Planning,No,8,942,Nobel,5,Yes,47,0,No,Mac,Snapchat,5,Fall18
7594,2,F,66,130,No,right,1,1,128,20,3,6,No,No,10,3657,Academy,2,No,NA,850,No,Mac,Instagram,5,Fall18
1241,2,F,67,175,Yes,right,1,2,70,3.5,3.6,12,No,Yes,2,9564,Olympic,3,No,56,800,Yes,Mac,Instagram,5,Fall18
419,2,M,73,185,No,right,2,3,20,6.5,3,8,Planning,No,10,5438,Olympic,0,No,59,1000,Yes,Mac,Snapchat,5,Fall18
7850,2,F,66,173,No,right,3,3,35,1.5,2.94,6,No,No,7,6932,Nobel,4,No,72,391,Yes,Mac,Instagram,5,Fall18
1316,2,F,62,130,No,right,2,1,40,8,3.2,12,No,Yes,12,6291,Nobel,2,No,NA,50,No,Mac,Other,5,Fall18
7297,2,M,76,208,No,right,1,2,17,6,2.7,30,No,Yes,20,5345,Olympic,0,No,62,600,No,Mac,Instagram,5,Fall18
7600,2,F,64,110,No,right,2,2,40,5,3.1,10,No,Yes,8,2242,Olympic,2,No,65,300,No,Mac,Snapchat,5,Fall18
5714,2,F,67,150,Yes,right,3,4,0,6,3,0,No,No,10,530,Academy,4,Yes,65,500,No,PC,Snapchat,5,Fall18
5544,2,M,76,250,No,right,1,2,10,8,3.6,4,No,No,5,3865,Nobel,0,No,50,200,Yes,Mac,Instagram,5,Fall18
NA,2,F,62,102,No,right,5,6,0,20,3.15,5,No,No,4,565,Olympic,5,Yes,65,1500,Yes,PC,Instagram,5,Fall18
1972,2,F,65,NA,No,right,2,3,150,2,3.4,5,No,No,6,2676,Nobel,2,Yes,78,876,Yes,Mac,Snapchat,5,Fall18
627,2,F,64,150,No,right,2,3,25,8,3,7,No,No,4,2558,Olympic,8,No,NA,1000,No,Mac,Snapchat,5,Fall18
802,2,F,66,115,Yes,right,1,1,150,23,3.5,2,No,No,2,8520,Nobel,5,Yes,87,200,No,Mac,Instagram,5,Fall18
6102,2,F,63,129,No,right,2,3,25,2,3.17,5,No,Yes,12,1002,Olympic,2,No,35,300,Yes,PC,Snapchat,5,Fall18
1219,2,F,64,130,No,right,1,2,30,6.5,3.2,5,Planning,No,2,1256,Academy,5,No,120,500,Yes,Mac,Instagram,6,Fall18
953,2,F,66,160,No,left,3,3,5,10,3,0,No,No,NA,256,Nobel,NA,NA,NA,NA,Yes,NA,Instagram,6,Fall18
2324,2,F,67,185,No,right,1,1,0,1,3.2,2,No,No,2,5894,Olympic,5,No,78,215,No,Mac,Instagram,6,Fall18
8255,1,M,74,253,No,right,2,2,35,3,NA,21,No,Yes,10,8756,Olympic,0,No,60,4000,Yes,Mac,Snapchat,6,Fall18
9688,2,F,63,130,Yes,right,2,3,25,6.5,3.7,2,No,No,4,608,Nobel,7,No,62,700,No,PC,Snapchat,6,Fall18
5264,2,M,79,200,No,right,3,3,40,10,2.98,15,No,Yes,4,2613,Olympic,0,No,41,1200,Yes,Mac,Snapchat,6,Fall18
3994,3,M,74,180,No,left,1,1,30,4,3.5,NA,No,No,NA,7777,Nobel,0,No,60,0,Yes,Mac,Twitter,6,Fall18
4646,1,M,68,160,Yes,right,1,1,25,2.25,NA,7,No,No,14,1322,Nobel,0,No,NA,NA,No,Mac,Snapchat,6,Fall18
2633,1,M,72,200,No,right,3,2,35,6,NA,3,No,Yes,12,5362,Olympic,0,No,NA,0,No,Mac,Snapchat,6,Fall18
4721,1,M,69,160,No,right,0,1,18,6.5,NA,21,No,Yes,14,4596,Olympic,0,No,130,600,Yes,Mac,Instagram,6,Fall18
619,2,M,70,265,Yes,right,4,1,25,2,2.5,NA,Planning,No,NA,2625,Olympic,0,No,80,1000,No,Mac,Snapchat,6,Fall18
5131,2,F,64,135,No,right,0,1,90,3,3.4,5,Planning,No,15,888,Olympic,2,No,70,500,Yes,Mac,Instagram,6,Fall18
4409,2,M,72,165,No,right,1,1,20,10,3.21,7,Planning,No,9,1234,Nobel,0,No,74,0,No,Mac,Snapchat,6,Fall18
185,2,M,73,NA,Yes,right,2,2,20,9,3.15,7,Planning,No,5,9482,Nobel,0,No,NA,900,Yes,PC,Instagram,6,Fall18
4141,2,F,67,140,No,right,3,3,60,6.5,3.3,14,No,Yes,14,7321,Olympic,5,No,70,1000,Yes,Mac,Instagram,6,Fall18
2982,4,M,74,177,No,both,0,1,24,18,3.94,12,No,Yes,12,3048,Nobel,0,No,48,500,Yes,Mac,Snapchat,6,Fall18
1372,2,M,69,158,No,right,1,1,0,5.5,3.13,18,No,Yes,10,4857,Nobel,2,No,NA,600,No,Mac,Instagram,6,Fall18
8338,1,F,68,124,No,right,1,1,30,4.5,NA,5,No,No,5,7337,Academy,3,No,100,0,Yes,Mac,Instagram,6,Fall18
8387,2,F,63,145,No,right,2,2,0,7,3.01,3,No,No,0,1234,Nobel,2,Yes,57,300,No,NA,Snapchat,6,Fall18
1831,1,F,68,150,No,right,1,2,NA,6,NA,10,No,Yes,7,2908,Olympic,6,Yes,130,1100,Yes,Mac,Snapchat,6,Fall18
9396,2,M,71,240,No,left,3,2,0,3,3,10,No,Yes,50,70,Nobel,0,No,90,500,Yes,PC,Twitter,6,Fall18
4666,1,M,70,165,No,right,3,4,25,6,NA,15,No,Yes,5,1111,Olympic,0,No,66,500,Yes,Mac,Snapchat,6,Fall18
1023,2,F,66,155,No,right,1,1,0,0.05,3.4,8,Planning,Yes,2,6098,Nobel,8,No,53,230,Yes,Mac,Twitter,6,Fall18
6108,1,F,66,140,No,right,2,1,35,2.5,NA,15,No,Yes,3,6523,Nobel,5,No,60,0,Yes,Mac,Instagram,6,Fall18
340,2,M,74,156,No,right,3,3,12,6,3.23,14,No,Yes,7,9346,Olympic,0,No,50,100,No,Mac,Snapchat,6,Fall18
8479,1,M,70,160,No,right,1,2,0,15,NA,14,No,No,10,1597,Olympic,0,No,84,197,Yes,PC,Twitter,6,Fall18
9055,1,M,72,160,No,right,2,2,30,5.5,NA,9,No,No,5,9387,Nobel,0,No,78,443,Yes,Mac,Instagram,6,Fall18
5776,1,M,67,125,No,right,0,1,14,9,NA,7,Planning,No,15,4444,Nobel,0,No,NA,1000,No,PC,Facebook,6,Fall18
NA,2,M,73,155,No,right,1,2,19,7,NA,8,Planning,No,4,7368,Nobel,0,No,NA,NA,No,Mac,Snapchat,4,Fall18
